流水号,标题,英文标题,摘要,关键词,特征词,作者,作者单位,学科分类号,出处,ISSN,国内代码,人名主题,内部代码,语种,基金,国省市名,参文数,更新日期,著者文摘,期刊名,出版年,卷,期,页码
"2015214505
","完壁式乳突根治鼓室成形术治疗胆脂瘤中耳炎疗效分析
","
","目的:探讨完壁式乳突根治鼓室成形术治疗胆脂瘤中耳炎的临床效果。方法:选择103例胆脂瘤中耳炎患者为研究对象,按照随机数字表法进行分组,观察组52例行完璧式乳突根治鼓室成形术,对照组51例行常规治疗,比较2组治疗效果。结果:结果观察组手术成功率为96%,术后3个月气骨导差<20dBHL的患者33例占64%,气导听阈>10dBHL的患者45例占86%,气管导差缩小>25dBHL的患者27例占52%,均显著高于对照组(P均<0.05);观察组手术时间(50.3±10.4)min,并发症发生率为3.8%,术后1 a复发率为0,均显著低于对照组(P均<0.05)。结论:完壁式乳突根治鼓室成形术治疗胆脂瘤中耳炎的临床效果优于传统治疗方法,适合在临床应用。
","完壁式乳突根治鼓室成形术;胆脂瘤中耳炎
","人类
","王恩芙;张炜
","包头医学院第一附属医院,内蒙古包头 014010
","*R764.21;R322.922;R764.29;R764.92
","现代中西医结合杂志;2014;23(30):3388-3389,3398
","1008-8849
","13-1283/R
","
","H31
","
","
","内蒙古
","0
","20150831
","AA
","现代中西医结合杂志
","2014
","23
","30
","3388-3389,3398
"
"2015213940
","清窍胶囊联合盐酸西替利嗪片治疗耳胀耳闭病的临床疗效观察
","
","目的:探讨清窍胶囊联合盐酸西替利嗪片治疗耳胀耳闭病的临床方法与疗效。方法:选择2012年3月-2014年3月我院收治的86例已确诊的耳胀耳闭病患者,并随机分为观察组与对照组。全部患者均给予盐酸西替利嗪片,观察组加用清窍胶囊,对照组加用阿莫西林胶囊。再综合比较两组疗效。结果:治疗后在总有效率上,观察组与对照组分别为93.02%、69.77%,差异具有统计学意义(P<0.05);在耳闷、听力下降、鼓室积液以及舌象上,两组差异具有统计学意义(P<0.05)。结论:清窍胶囊联合盐酸西替利嗪片治疗耳胀耳闭病疗效确切,并可缩短抗组胺药与激素药物的疗程,控制不良反应以及毒副作用的发生。
","清窍胶囊;西替利嗪;耳胀耳闭病
","人类
","梁孝迁
","广西兴业县人民医院,广西兴业 537800
","*R764;R242;R944.5;R971.92
","右江民族医学院学报;2014;36(5):761-762
","1001-5817
","45-1085/R
","
","Y34
","
","
","广西
","0
","20150831
","AA
","右江民族医学院学报
","2014
","36
","5
","761-762
"
"2015212279
","突发性耳聋应用鼻内窥镜下经咽鼓管置管注药治疗的疗效观察
","
","目的:观察鼻内窥镜下经咽鼓管置管注药治疗突发性耳聋的临床疗效。方法:80例突发性耳聋患者随机分为观察组和对照组,每组40例。对照组采用地塞米松、强的松治疗,观察组患者鼻内窥镜下经咽鼓管置管注入地塞米松治疗。观察两组治疗效果和听力值改变情况。结果:观察组和对照组患者治疗后的听力值分别和本组治疗前的听力值比较,差异有统计学意义(P<0.05);观察组治疗后的听力值与对照组治疗后的听力值比较,差异有统计学意义(P<0.05)。观察组治疗后的痊愈和显效所占比例高于对照组,差异有统计学意义(P<0.05)。结论:鼻内窥镜下经咽鼓管置管注药治疗突发性耳聋临床效果显著,值得借鉴。
","鼻内窥镜;经咽鼓管置管注药;突发性耳聋
","人类
","赵昊
","河南省南阳市口腔医院耳鼻喉科, 473000
","R322.922;R339.16;R76;R764.437
","中国实用医药;2014;(34):124-125
","1673-7555
","11-5547/R
","
","ZG92
","
","
","河南
","0
","20150831
","AA
","中国实用医药
","2014
","
","34
","124-125
"
"2015197974
","护理干预对高压氧治疗突发性耳聋预后的影响
","
","目的:探讨护理干预对高压氧治疗突发性耳聋预后的影响。方法:将80例突发性耳聋病人随机分为观察组和对照组各40例,对照组给予药物及高压氧治疗,观察组在药物及高压氧治疗的基础上给予护理干预,比较两组病人的治疗效果。结果:观察组、对照组总有效率分别为90.0%和72.5%,经比较差异有统计学意义(P<0.05)。结论:对突发性耳聋病人在综合治疗的基础上给予护理干预可提高临床疗效,有利于病人听力的恢复。
","突发性耳聋;听力;预后;护理干预
","人类
","王雪晴;白雪玲;李萍;钟明
","中山大学附属第五医院, 519000
","*R473.5;R-33;R339.16;R459.6;R764.437
","全科护理;2014;12(26):2426-2427
","1674-4748
","14-1349/R
","
","JT3
","
","
","广东
","0
","20150831
","AA
","全科护理
","2014
","12
","26
","2426-2427
"
"2015195785
","甲硫氨酸对噪声性听力损失的预防作用研究
","The Protective Effects of D-Methionine in Noise-Induced Hearing Loss
","目的:探讨口服甲硫氨酸对噪声性听力损失的预防作用。方法:将解放军某部健康男性军人203例随机分为试验组(113例)和对照组(90例),均给予脉冲噪声(峰值160－170dB SPL)暴露1小时,暴露前3天试验组口服甲硫氨酸片1 500mg/日×3天,对照组则口服等剂量安慰剂(淀粉)。两组受试者噪声暴露前后行纯音测听、听性脑干反应听(ABR)检查,对检查结果进行统计学分析。结果:噪声暴露后1天,两组各频率纯音听阈均高于暴露前(P<0.05或P<0.01),暴露后7天,对照组纯音听阈仍升高(P<0.05),而试验组与暴露前比较差异无统计学意义(P>0.05);噪声暴露前、暴露后1天、7天,试验组ABR反应阈分别为40.5±9.3、51.7±12.3、44.1±11.4dB nHL,对照组分别为41.5±8.9、62.4±13.7、47.6±12.5dB nHL,试验组ABR I-V波间期分别为3.72±0.21、3.99±0.36、3.82±0.25ms,对照组分别为3.71±0.22、4.45±0.37、3.85±0.34ms,噪声暴露后1、7天两组间ABR反应阈、I-V波间期比较差异有统计学意义(P<0.05或P<0.01)。结论:噪声暴露前口服甲硫氨酸片能有效减轻噪声暴露后噪声性听力损失的发生。
","甲硫氨酸;噪声性听力损失;预防
","男(雄)性;人类
","葛振民;马枢;贾晓青
","解放军第404医院耳鼻咽喉科,威海 264200
","*R764.433;R126.9;R135;R341.7;R764.432;R975.5;R977.4
","听力学及言语疾病杂志;2014;22(6):603-605
","1006-7299
","42-1391/R
","
","T07
","
","
","山东
","0
","20150831
","AA
","听力学及言语疾病杂志
","2014
","22
","6
","603-605
"
"2015191696
","阿魏酸钠对弥漫性脑外伤大鼠血浆cGMP含量与听力变化的影响
","EFFECTS OF SODIUM FERULATE ON THE CONTENT OF cGMP IN PLASMA AND HEARING CHANGE WITH DIFFUSE TRAUMATIC BRAIN INJURY MODEL OF RATS
","目的:探讨阿魏酸钠对弥漫性脑外伤大鼠血浆中环磷酸鸟苷含量及听力变化的影响。方法:SD大鼠随机分为正常组,生理盐水组,脑外伤组(伤后24h、72h、168h)及阿魏酸钠治疗组(24h、72h、168h)。在相应时间点上测试大鼠听性脑干反应及血浆环磷酸鸟苷的含量。结果:脑外伤组血浆cGMP含量明显升高,与正常组、生理盐水对照组比较差异均有统计学意义(P<0.05);阿魏酸钠治疗组cGMP含量较脑外伤组下降,差异有统计学意义(P<0.05);脑外伤后各组ABR阈值及各波潜伏期与正常对照组比较差异有统计学意义(P<0.01);脑外伤后各组血cGMP含量与听力变化正相关,阿魏酸钠可影响脑外伤后各组大鼠ABR阈值及各波潜伏期,与血浆cGMP含量仍呈正相关。结论:DBI后大鼠血浆cGMP含量变化与听力损害可能有关,阿魏酸钠对DBI大鼠听力损害有一定保护作用。
","弥漫性脑外伤;环磷酸鸟苷;听力;脑干听觉诱发电位;阿魏酸钠;大鼠
","大鼠;动物
","邓艳丽(1);刘建新(2);张再兴(1);顾洪兰(1);卢鹤翔(3);庞淑兰(4);张萍(1);付兴华(1)
","(1)河北联合大学附属医院耳鼻喉科,河北省唐山市 063000; (2)河北联合大学附属医院重症医学科; (3)河北联合大学形态中心; (4)河北联合大学公共卫生学院
","*R765.8;R-332;R284.1;R339.16;R342.4;R749.12;R977
","中国煤炭工业医学杂志;2014;17(11):1823-1826
","1007-9564
","13-1221/R
","
","Z111
","
","2012河北省医学科研重点项目计划(20120407)
","河北
","0
","20150831
","AA
","中国煤炭工业医学杂志
","2014
","17
","11
","1823-1826
"
"2015188096
","声信息治疗急性期外伤性鼓膜穿孔的临床研究
","
","目的:探讨急性外伤性鼓膜穿孔临床最佳治疗方法。方法:对50例外伤性鼓膜穿孔患者在常规治疗方法的基础上,随机抽取30例患者,每天加用声信息治疗连续10天.对比、评价1、3、7、15、21天和1－2个月两组治疗方法患者痛苦程度、鼓膜愈合、耳鸣和听力改善情况。结果:①首次声信息治疗后30%和53%的患者耳闷胀、耳痛、耳鸣、眩晕等临床症状非常明显或明显缓解;对照组临床改善则需要1.5－3天.②声信息治疗组56.6%患者高频听力损失在3天内开始明显恢复;对照组3天时为15%.③鼓膜穿孔愈合情况两组差异不明显。结论:在常规治疗方法的基础上增加声信息治疗可以迅速缓解外伤性鼓膜穿孔急性期的痛苦,减少神经性耳鸣、耳聋后遗症的发生,有较好的临床效果,且使用方便、无副作用.与常规治疗组相比较差异显著(P<0.05)。
","急性;外伤性;鼓膜穿孔;声信息;治疗
","人类
","曹锋
","河北省邯郸市临漳县医院耳鼻咽喉科, 056600
","R339.16;R64;R764.29;R764.45
","中国中西医结合耳鼻咽喉科杂志;2014;22(5):365-367,341
","1007-4856
","34-1159/R
","
","ZE2
","
","
","河北
","0
","20150831
","AA
","中国中西医结合耳鼻咽喉科杂志
","2014
","22
","5
","365-367,341
"
"2015182349
","颅内感染鼠巨细胞病毒对新生小鼠血-迷路屏障通透性的影响
","Effect of murine cytomegalovirus intracranial infection on permeability of blood-labyrinth barrier in neonatal mouse
","目的:探讨新生小鼠鼠巨细胞病毒(MCMV)性耳聋发病过程中血-迷路屏障通透性的改变及其可能机制。方法: 66只新生BALB/C小鼠随机均分为三组:A组颅内注射MCMV 15μl;B组颅内注射生理盐水15μl;C组作为空白对照。3周后声电屏蔽下行听觉脑干反应(ABR)检查后取两侧耳蜗,伊文思蓝甲酰胺法检测血-迷路屏障通透性,光镜下观察内耳病理变化。结果:与B、C组相比,A组小鼠ABRⅠ波潜伏期延长,波幅降低,听力阈值和耳蜗伊文思蓝含量升高(P<0.05)。光镜下A组小鼠耳蜗前庭阶、鼓阶有出血现象,血管纹及螺旋韧带内有较多炎症细胞浸润;B、C组小鼠耳蜗无上述变化。结论:新生小鼠颅内感染MCMV后,血-迷路屏障通透性增高是发生MCMV性耳聋的一个重要环节。
","小鼠巨细胞病毒;耳聋;血-迷路屏障
","小鼠;动物
","李培华(1);乔月华(1,2);王采集(1);裴晓璐(2);孟红(3);李轩毅(2)
","(1)徐州医学院附属医院耳鼻咽喉科,江苏省221002; (2)徐州医学院; (3)山东省医学科学院基础医学研究所
","R-332;R322.923;R512.3;*R764;R764.43
","江苏医药;2014;40(20):2381-2383,封2
","0253-3685
","32-1221/R
","
","J13
","
","国家自然科学基金(81250042); 江苏省“六大人才高峰”资助项目(2011-WS-074); 江苏省中医药局课题(LZ11099); 江苏省卫生厅课题(H201217); 徐州市社会发展课题(XF11C098)
","江苏
","0
","20150630
","AA
","江苏医药
","2014
","40
","20
","2381-2383,封2
"
"2015181014
","早期梅尼埃病患者前庭诱发肌源性电位的特征
","Characteristics of vestibular evoked myogenic potentials in patients at early stage of Meniere's disease
","目的:建立听力室前庭诱发肌源性电位(VEMPs)潜伏期、耳间潜伏期差值、振幅比及耳间不对称率等参数的正常值,分析早期梅尼埃病患者的VEMPs特征。方法:随机选取听力正常的健康成人39例,用于建立VEMPs正常值范围并用作健康对照;对单侧发病的早期梅尼埃病患者37例,行双侧VEMPs检测,分析其VEMPs特征。结果:37例单侧发病的早期梅尼埃病患者中,患侧未能引出者11例,双侧未能引出者4例,另外15例患侧VEMPs的异常表现可为p13或n23潜伏期延长、耳间潜伏期差值延长、振幅增强或减弱等,总异常率为81.08%。结论:当VEMPs的耳间潜伏期差值表现为延长、振幅表现为增强或减弱时,对早期梅尼埃病的诊断有显著意义。
","前庭诱发肌源性电位;潜伏期;耳间潜伏期差值;耳间不对称率;梅尼埃病
","人类;成年人
","苏怡(1,2);张革化(1);曾祥丽(1)
","(1)中山大学附属第三医院耳鼻咽喉-头颈外科,广东广州510630; (2)广州市南沙中心医院耳鼻喉科,广东广州 511457
","R-05;R322.92;*R764.34
","山东大学耳鼻喉眼学报;2014;28(4):26-29
","1673-3770
","37-1437/R
","
","E02
","
","广东省科技计划项目(20108060900032)
","广东
","0
","20150630
","AA
","山东大学耳鼻喉眼学报
","2014
","28
","4
","26-29
"
"2015177790
","中西药滴耳修补鼓膜穿孔的组织学研究
","Histological study of heal-promoting effect of an ear drop combined herbal solution with chemical drug on perforated tympanic membrane
","目的:研究探讨中西药滴耳修补鼓膜穿孔的临床疗效以及滴耳法对鼓膜穿孔愈合过程中发挥的作用。方法:选取鼓膜穿孔的70例患者作为研究对象,将其随机分为两组,每组35例,观察组患者给予自制的中西药滴耳剂治疗,对照组患者给予安慰滴耳剂,以2个月为1个治疗疗程,连用2个疗程后比较两组患者的治疗效果、听力改善情况及不良反应发生情况。结果:观察组患者和对照组患者的治疗有效率分别是48.6%和5.7%,听力改善度分别为(15.1±4.6)dB和(-0.1±6.3)dB,比较均有显著差异,P<0.05。结论:中西药滴耳法可以在鼓膜穿孔的治疗中发挥促进穿孔愈合的作用,且不良反应发生率低,对患者听力改善明显,具有临床推广和应用意义。
","中西医药滴耳法;鼓膜穿孔;组织学研究
","人类
","吴静
","河南省荣军医院,河南新乡 453000
","R-33;R322.92;R64;R764.053;*R764.29
","中国民康医学;2014;26(19):24-25
","1672-0369
","11-4917/R
","
","ZG11
","
","
","河南
","0
","20150630
","AA
","中国民康医学
","2014
","26
","19
","24-25
"
